Fuggveny szam:0
	32	25.77763	8
	36	24.1599	9
	40	22.99512	10
	44	22.15649	11
	48	21.55267	12
	52	21.11793	13
	56	20.80491	14
	60	20.57953	15
	64	20.41726	16
	68	20.30043	17
	72	20.21631	18
	76	20.15574	19
	80	20.11213	20
	84	20.08074	21
	88	20.05813	22
	92	20.04185	23
	96	20.03014	24
	100	20.0217	25
	104	20.01562	26
	108	20.01125	27
	112	20.0081	28
	116	20.00583	29
	120	20.0042	30
	124	20.00302	31
	128	20.00218	32
